Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2018-05-20 10-PM,ETHUSD,717.43,718.42,709.09,711.98,432.32,308737.63
2018-05-20 09-PM,ETHUSD,716.79,720.28,716.7,717.43,301.75,216657.08
2018-05-20 08-PM,ETHUSD,718.3,720,716.59,716.79,456.56,328111.08
2018-05-20 07-PM,ETHUSD,722.32,722.35,715.31,718.3,219.73,157668.86
2018-05-20 06-PM,ETHUSD,719.9,722.92,716.71,722.32,886.0,637864.83
2018-05-20 05-PM,ETHUSD,718.85,720.74,716.63,719.9,1097.16,789829.33
2018-05-20 04-PM,ETHUSD,712.4,720,712.22,718.85,1567.39,1125475.88
2018-05-20 03-PM,ETHUSD,709.8,712.4,709.35,712.4,94.08,66901.89
2018-05-20 02-PM,ETHUSD,707,710.69,707,709.8,453.85,321884.49
2018-05-20 01-PM,ETHUSD,706.53,710.36,706.53,707,299.38,211937.79
2018-05-20 12-PM,ETHUSD,711.11,715.76,706.53,706.53,235.05,167358.67
2018-05-20 11-AM,ETHUSD,713.98,713.98,709.78,711.11,147.57,104932.48
2018-05-20 10-AM,ETHUSD,712,715.96,711.99,713.98,597.8,426654.69
2018-05-20 09-AM,ETHUSD,710,712,705.92,712,822.34,583842.08
2018-05-20 08-AM,ETHUSD,706.9,710,706.6,710,612.47,434789.11
2018-05-20 07-AM,ETHUSD,704.18,707.2,703.03,706.9,170.93,120606.74
2018-05-20 06-AM,ETHUSD,704.15,706.55,704.08,704.18,132.31,93389.8
2018-05-20 05-AM,ETHUSD,705.61,706.57,702.82,704.15,187.49,132156.69
2018-05-20 04-AM,ETHUSD,702.3,707,702.3,705.61,216.25,152665.87
2018-05-20 03-AM,ETHUSD,706.33,708.84,701.51,702.3,261.48,184803.14
2018-05-20 02-AM,ETHUSD,695.59,710,695.59,706.33,1518.81,1067196.84
2018-05-20 01-AM,ETHUSD,690.7,696,687,695.59,264.73,183151.9
2018-05-20 12-AM,ETHUSD,696.64,696.64,689.45,690.7,95.4,66013.79
2018-05-19 11-PM,ETHUSD,690.88,696.68,689.24,696.64,572.52,397937.31
2018-05-19 10-PM,ETHUSD,689.11,695.6,685.02,690.88,652.07,449245.26
2018-05-19 09-PM,ETHUSD,700,700,670,689.11,8393.93,5771830.17
2018-05-19 08-PM,ETHUSD,703.22,704.1,700,700,257.12,180718.02
2018-05-19 07-PM,ETHUSD,702.51,703.22,700.38,703.22,101.13,70980.61
2018-05-19 06-PM,ETHUSD,700,703.22,699.99,702.51,1785.0,1250480.4
2018-05-19 05-PM,ETHUSD,701.94,703.16,700,700,246.2,172564.65
2018-05-19 04-PM,ETHUSD,706.96,706.96,700.14,701.94,174.08,122284.39
2018-05-19 03-PM,ETHUSD,706.79,706.96,689.96,706.96,1789.96,1252850.2
2018-05-19 02-PM,ETHUSD,704.45,708.47,704.45,706.79,210.89,149028.36
2018-05-19 01-PM,ETHUSD,709.46,715.96,704.41,704.45,1330.16,945920.07
2018-05-19 12-PM,ETHUSD,709.33,710,706.02,709.46,564.09,399944.85
2018-05-19 11-AM,ETHUSD,695.55,709.5,695.13,709.33,1167.66,818453.62
2018-05-19 10-AM,ETHUSD,690.73,695.98,690.58,695.55,77.07,53572.85
2018-05-19 09-AM,ETHUSD,690,692.25,690,690.73,76.33,52780.68
2018-05-19 08-AM,ETHUSD,686.41,690,683.44,690,416.9,286338.86
2018-05-19 07-AM,ETHUSD,690.66,690.66,683.21,686.41,504.75,346242.62
2018-05-19 06-AM,ETHUSD,690.82,693.32,688.15,690.66,287.11,198429.73
2018-05-19 05-AM,ETHUSD,690.99,692.15,690,690.82,54.65,37768.6
2018-05-19 04-AM,ETHUSD,694.47,695.86,690,690.99,743.45,515043.96
2018-05-19 03-AM,ETHUSD,687.7,695.68,687,694.47,475.24,328956.81
2018-05-19 02-AM,ETHUSD,691.14,691.14,687.59,687.7,45.03,31005.91
2018-05-19 01-AM,ETHUSD,691.14,691.14,691.14,691.14,0.0,0.0
2018-05-19 12-AM,ETHUSD,691.14,691.14,691.14,691.14,0.0,0.0
2018-05-18 11-PM,ETHUSD,689.52,692,689.51,691.14,173.03,119582.47
2018-05-18 10-PM,ETHUSD,688.26,691.2,688,689.52,122.25,84384.31
2018-05-18 09-PM,ETHUSD,686.84,689.8,686.4,688.26,386.16,265742.23
2018-05-18 08-PM,ETHUSD,688.72,689.48,683.99,686.84,4107.24,2824997.37
2018-05-18 07-PM,ETHUSD,686,691.53,684.32,688.72,2088.91,1435703.47
2018-05-18 06-PM,ETHUSD,679,687.44,677,686,1371.95,936585.97
2018-05-18 05-PM,ETHUSD,679.3,683.24,677.64,679,527.55,358829.29
2018-05-18 04-PM,ETHUSD,675.9,680.59,672.61,679.3,752.57,509007.83
2018-05-18 03-PM,ETHUSD,671.1,679.84,669.61,675.9,673.52,454121.44
2018-05-18 02-PM,ETHUSD,676.48,676.48,667.47,671.1,321.89,216596.16
2018-05-18 01-PM,ETHUSD,680.9,681.79,674.07,676.48,709.09,480711.55
2018-05-18 12-PM,ETHUSD,680.7,682.19,671.71,680.9,1983.58,1342853.6
2018-05-18 11-AM,ETHUSD,683.69,683.69,674.2,680.7,2041.15,1383917.93
2018-05-18 10-AM,ETHUSD,679.97,683.69,679.79,683.69,352.48,240267.06
2018-05-18 09-AM,ETHUSD,682.13,682.56,678.07,679.97,246.21,167540.29
2018-05-18 08-AM,ETHUSD,676.82,682.83,675.03,682.13,1385.39,939596.76
2018-05-18 07-AM,ETHUSD,668.19,680.33,667.1,676.82,1491.76,1008496.0
2018-05-18 06-AM,ETHUSD,674.66,675.64,667.43,668.19,600.52,403296.7
2018-05-18 05-AM,ETHUSD,674.2,678.01,670.33,674.66,742.52,500272.53
2018-05-18 04-AM,ETHUSD,670.17,681,670.02,674.2,1379.26,931688.63
2018-05-18 03-AM,ETHUSD,669.79,675,669.79,670.17,2104.92,1416152.57
2018-05-18 02-AM,ETHUSD,665.89,673.1,659.68,669.79,4726.57,3157386.42
2018-05-18 01-AM,ETHUSD,661.28,670.65,659.28,665.89,2336.75,1556868.67
2018-05-18 12-AM,ETHUSD,668.8,668.8,657.02,661.28,2390.23,1584022.68
2018-05-17 11-PM,ETHUSD,671.74,675.48,664.74,668.8,1007.79,673828.9
2018-05-17 10-PM,ETHUSD,678,678,661.01,671.74,3482.05,2325423.51
2018-05-17 09-PM,ETHUSD,687.8,688.09,678,678,471.53,321803.61
2018-05-17 08-PM,ETHUSD,684.01,691.01,683.2,687.8,1630.63,1117005.13
2018-05-17 07-PM,ETHUSD,680.51,684.99,679.37,684.01,445.73,304348.8
2018-05-17 06-PM,ETHUSD,691,691,678.44,680.51,1707.49,1168217.13
2018-05-17 05-PM,ETHUSD,698.26,699.38,687.55,691,1779.2,1231822.01
2018-05-17 04-PM,ETHUSD,705.36,706.58,693,698.26,1660.2,1157738.15
2018-05-17 03-PM,ETHUSD,705.01,707,703.14,705.36,272.39,192019.67
2018-05-17 02-PM,ETHUSD,701,707.14,690.11,705.01,2107.32,1473156.36
2018-05-17 01-PM,ETHUSD,695.48,701,695.48,701,689.27,481336.45
2018-05-17 12-PM,ETHUSD,699.39,703.1,695.42,695.48,846.23,593107.66
2018-05-17 11-AM,ETHUSD,699.94,702.23,698.36,699.39,252.83,176820.09
2018-05-17 10-AM,ETHUSD,702.79,702.79,696.83,699.94,780.63,546115.13
2018-05-17 09-AM,ETHUSD,697.33,703,697.33,702.79,601.14,421326.09
2018-05-17 08-AM,ETHUSD,697.79,701,696.57,697.33,748.24,522020.03
2018-05-17 07-AM,ETHUSD,708,708,693.25,697.79,1080.22,757653.03
2018-05-17 06-AM,ETHUSD,711.37,712,708,708,628.49,446853.55
2018-05-17 05-AM,ETHUSD,710.24,713,707.24,711.37,908.75,645842.37
2018-05-17 04-AM,ETHUSD,710.01,714,710.01,710.24,482.02,343434.12
2018-05-17 03-AM,ETHUSD,713.5,718.76,709,710.01,749.63,536507.26
2018-05-17 02-AM,ETHUSD,712,715.43,711.99,713.5,2529.53,1804570.37
2018-05-17 01-AM,ETHUSD,711.76,714.99,706.39,712,1526.71,1086352.86
2018-05-17 12-AM,ETHUSD,706.95,715,706.95,711.76,1224.21,871877.0
2018-05-16 11-PM,ETHUSD,701.12,707,699.99,706.95,511.29,359633.06
